0,2.42799,0.822931,3.31712,0.523599,1.46147,0.87167
1,2.42799,0.822927,3.31708,0.523685,1.46147,0.871622
2,2.42801,0.822901,3.31683,0.524263,1.46148,0.871298
3,2.42805,0.822832,3.31617,0.525762,1.46151,0.870461
4,2.42812,0.8227,3.31494,0.528539,1.46157,0.868909
5,2.42824,0.822486,3.31303,0.532877,1.46166,0.866486
6,2.42842,0.822172,3.31033,0.538985,1.4618,0.863076
7,2.42867,0.821742,3.30679,0.546993,1.46198,0.858604
8,2.42898,0.821179,3.30239,0.556959,1.46222,0.853036
9,2.42939,0.820471,3.29714,0.568874,1.46253,0.846375
10,2.42988,0.819602,3.29106,0.582672,1.46291,0.838654
11,2.43047,0.818561,3.28422,0.598239,1.46336,0.829932
12,2.43117,0.817335,3.27667,0.615426,1.46389,0.820291
13,2.43197,0.815915,3.26851,0.634057,1.4645,0.809824
14,2.43289,0.814291,3.25981,0.653945,1.4652,0.798637
15,2.43394,0.812454,3.25066,0.674892,1.466,0.786838
16,2.4351,0.810396,3.24115,0.696704,1.46689,0.774538
17,2.4364,0.808111,3.23135,0.719188,1.46788,0.761846
18,2.43782,0.805592,3.22136,0.742162,1.46897,0.748871
19,2.43938,0.802835,3.21122,0.765454,1.47017,0.735714
20,2.44108,0.799836,3.20101,0.788904,1.47147,0.722474
21,2.44291,0.79659,3.19078,0.812364,1.47288,0.709242
22,2.44489,0.793096,3.18059,0.8357,1.4744,0.696103
23,2.447,0.789353,3.17046,0.858791,1.47603,0.683138
24,2.44925,0.78536,3.16044,0.881528,1.47777,0.670419
25,2.45165,0.781117,3.15056,0.903816,1.47962,0.658011
26,2.45418,0.776627,3.14084,0.925572,1.48159,0.645974
27,2.45684,0.77189,3.1313,0.946725,1.48366,0.634359
28,2.45964,0.766912,3.12196,0.967217,1.48584,0.62321
29,2.46257,0.761696,3.11282,0.987003,1.48812,0.612563
30,2.46563,0.756249,3.1039,1.00605,1.49051,0.602446
31,2.46881,0.750576,3.09518,1.02433,1.493,0.592876
32,2.47211,0.744687,3.08668,1.04185,1.49559,0.583862
33,2.47552,0.738591,3.07839,1.0586,1.49828,0.575403
34,2.47904,0.732299,3.0703,1.07461,1.50105,0.567485
35,2.48265,0.725823,3.0624,1.08991,1.50392,0.560084
36,2.48636,0.719177,3.05467,1.10455,1.50686,0.553162
37,2.49014,0.712377,3.04711,1.11861,1.50987,0.546667
38,2.494,0.70544,3.03969,1.13216,1.51295,0.540535
39,2.49792,0.698386,3.03238,1.14532,1.51608,0.534684
40,2.50189,0.691236,3.02516,1.15821,1.51927,0.529017
41,2.5059,0.683995,3.01788,1.17113,1.52249,0.523378
42,2.50999,0.6766,3.01013,1.18446,1.5258,0.517798
43,2.51421,0.668974,3.00152,1.19843,1.52921,0.512438
44,2.51859,0.661045,2.99171,1.21322,1.53276,0.507459
45,2.52316,0.652745,2.98044,1.22893,1.53648,0.503015
46,2.52797,0.644013,2.96747,1.24565,1.54041,0.499265
47,2.53304,0.63479,2.95264,1.26339,1.54456,0.496364
48,2.5384,0.625024,2.93581,1.28211,1.54897,0.494473
49,2.54407,0.614666,2.9169,1.30174,1.55365,0.493754
50,2.55008,0.603673,2.89587,1.32215,1.55863,0.494366
51,2.55645,0.592004,2.87273,1.34319,1.56393,0.496472
52,2.5632,0.579624,2.8475,1.36466,1.56957,0.500227
53,2.57033,0.566504,2.82028,1.38634,1.57555,0.505777
54,2.57787,0.552614,2.79115,1.40799,1.58191,0.513256
55,2.58581,0.537935,2.76025,1.42936,1.58864,0.52278
56,2.59418,0.522448,2.72775,1.4502,1.59577,0.534438
57,2.60296,0.506141,2.69383,1.47026,1.60329,0.548294
58,2.61216,0.489007,2.65871,1.48931,1.61122,0.564373
